Название скина,Боец,Редкость,Цена,Добавочная цена,Тематика,АРХИВНОСТЬ
Бандитка Шелли,Шелли,1,29,0,Бандиты,-
Бока Хуниорс Шелли,Шелли,1,29,0,ML,+
Америка Шелли,Шелли,1,29,0,ML,+
Универсидад де Чили Шелли,Шелли,1,29,0,ML,+
Классическая Шелли,Шелли,1,29,0,Классические,+
Панда Нита,Нита,1,29,0,=,-
Рок-звезда Кольт,Кольт,1,29,0,=,-
Бандит Кольт,Кольт,1,29,0,Бандиты,-
Серро Портеньо Кольт,Кольт,1,29,0,ML,+
Атлетико Насьональ Кольт,Кольт,1,29,0,ML,+
Ривер Плейт Кольт,Кольт,1,29,0,ML,+
Клуб Америка Кольт,Кольт,1,29,0,ML,+
ЗомБрок,Брок,1,29,0,Хеллоуин,-
Университарио Эль Примо,Эль Примо,1,29,0,ML,+
Насьональ Эль Примо,Эль Примо,1,29,0,ML,+
Корританс Эль Примо,Эль Примо,1,29,0,ML,+
Позолоченный Барли,Барли,1,29,0,=,-
Кукла Джесси,Джесси,1,29,0,День святого Валентина,-
Классический 8-Бит,8-Бит,1,29,0,=,-
Гоблин Карл,Карл,1,29,0,=,-
Строительница Джеки,Джеки,1,29,0,=,-
Бойскаут Гас,Гас,1,29,0,=,-
Воин Бо,Бо,1,29,0,=,-
Суперзвезда Сту,Сту,1,29,0,Экстрим-Шоу,-
Выскочка Эмз,Эмз,1,29,0,Академия Brawl,-
Розовая Пайпер,Пайпер,1,29,0,=,-
Бабл-гам Биби,Биби,1,29,0,Конфетная страна,-
Божья Коровка Беа,Беа,1,29,0,=,-
Ретро Нани,Нани,1,29,0,=,-
Эдгар в Маске,Эдгар,1,29,0,=,-
Единорожка Бонни,Бонни,1,29,0,=,-
ФутБонни,Бонни,1,29,0,Футбол,-
Мишка Сэм,Сэм,1,29,0,День святого Валентина,-
MC Мэнди,Мэнди,1,29,0,=,-
Технарь Мэйси,Мэйси,1,29,0,=,-
Акула Хэнк,Хэнк,1,29,0,=,-
Винтажная Пёрл,Перл,1,29,0,=,-
Ларри и Лори Контроль,Ларри и Лори,1,29,0,=,-
Эльф Анджело,Анджело,1,29,0,=,-
Старра,Тара,1,29,0,=,-
GT Макс,Макс,1,29,0,=,-
Агент П.,Мистер П.,1,29,0,=,-
Тропический Спраут,Спраут,1,29,0,Лето в Суперсити,-
Канцелярский Скуик,Скуик,1,29,0,=,-
Кайдзю Базз,Базз,1,29,0,Лето в Суперсити,-
Реактивная Джанет,Джанет,1,29,0,Экшн-герои,-
Беглец Грей,Грей,1,29,0,=,-
Аксолотль Виллоу,Виллоу,1,29,0,=,-
Сержант Р-Т,RT,1,29,0,=,-
Дракон Даг,Даг,1,29,0,=,-
Адский Чак,Чак,1,29,0,=,-
Паучиха Чарли,Чарли,1,29,0,=,-
Месье Мико,Мико,1,29,0,=,-
Сиф Мелоди,Мелоди,1,29,0,=,-
Спайк в маске,Спайк,1,29,0,Магазин сувениров,-
Бродячий Леон,Леон,1,29,0,=,-
Сонный Сэнди,Сэнди,1,29,0,=,-
Тёмный Честер,Честер,1,29,0,=,-
Лига де Кито Майк,Динамайк,1,49,0,ML,+
Фламенго Майк,Динамайк,1,49,0,ML,+
Гвадалахара Майк,Динамайк,1,49,0,ML,+
Серебряная Шелли,Шелли,1,769,0,Серебряные скины,-
